raw_value,assignment_count,file_count,canonical_value,facet,action,notes
Trinity Sunday,11,11,Trinity Sunday,,keep,
Youth Festival,11,11,Youth Festival,,keep,
Commons of Commemoration,10,10,Commons of Commemoration,,keep,
Courage and Perseverance,10,10,Courage and Perseverance,,keep,
Family Prayer,10,10,Family Prayer,,keep,
Maundy Thursday,10,10,Maundy Thursday,,keep,
Old People’s Service,10,10,Old People’s Service,,keep,
Penitence and Pardon,10,10,Penitence and Pardon,,keep,
Second Sunday in Advent (Bible Sunday),10,10,Second Sunday in Advent (Bible Sunday),,keep,
The Circumcision,10,10,The Circumcision,,keep,
W. David O. Taylor,10,10,W. David O. Taylor,,keep,
A Diocesan Service Book,9,9,A Diocesan Service Book,,keep,
Ash Wednesday,9,9,Ash Wednesday,,keep,
C. J. Vaughan,9,9,C. J. Vaughan,,keep,
Christmas Day,9,9,Christmas Day,,keep,
Confessions,9,9,Confessions,,keep,
Faith,9,9,Faith,,keep,
Holy Baptism,9,9,Holy Baptism,,keep,
Knowledge and Truth,9,9,Knowledge and Truth,,keep,
Liturgy of St. Mark,9,9,Liturgy of St. Mark,,keep,
Love,9,9,Love,,keep,
Peter Green,9,9,Peter Green,,keep,
Pulpit Prayers,9,9,Pulpit Prayers,,keep,
The Christian Warfare,9,9,The Christian Warfare,,keep,
W. E. Orchard,9,9,W. E. Orchard,,keep,
A Procession of Passion Prayers,8,8,A Procession of Passion Prayers,,keep,
Before Bible Study,8,8,Before Bible Study,,keep,
Burial of the Dead,8,8,Burial of the Dead,,keep,
Childbirth,8,8,Childbirth,,keep,
Fifth Sunday in Lent: Passion Sunday,8,8,Fifth Sunday in Lent: Passion Sunday,,keep,
Guild of Health,8,8,Guild of Health,,keep,
Inward Peace,8,8,Inward Peace,,keep,
James M. Todd,8,8,James M. Todd,,keep,
John Hunter,8,8,John Hunter,,keep,
L. E. H. Stephens-Hodge,8,8,L. E. H. Stephens-Hodge,,keep,
Offertory Prayers,8,8,Offertory Prayers,,keep,
Rulers and Statesmen,8,8,Rulers and Statesmen,,keep,
St. Augustine,8,8,St. Augustine,,keep,
Sunday Called Septuagesima,8,8,Sunday Called Septuagesima,,keep,
William Knight,8,8,William Knight,,keep,
A Prayer Meeting,7,7,A Prayer Meeting,,keep,
After the Third Collect,7,7,After the Third Collect,,keep,
Basil Naylor,7,7,Basil Naylor,,keep,
"Canterbury Convocation, 1862",7,7,"Canterbury Convocation, 1862",,keep,
Christmas Eve,7,7,Christmas Eve,,keep,
"Death, the Departed, and the Communion of Saints",7,7,"Death, the Departed, and the Communion of Saints",,keep,
Dedication of Memorial Gifts,7,7,Dedication of Memorial Gifts,,keep,
E. B. Pusey,7,7,E. B. Pusey,,keep,
First Sunday After Easter,7,7,First Sunday After Easter,,keep,
First Sunday After Trinity,7,7,First Sunday After Trinity,,keep,
First Sunday in Advent,7,7,First Sunday in Advent,,keep,
First Sunday in Lent,7,7,First Sunday in Lent,,keep,
Guidance,7,7,Guidance,,keep,
Lancelot Andrewes,7,7,Lancelot Andrewes,,keep,
Liturgy of the Catholic Apostolic Church,7,7,Liturgy of the Catholic Apostolic Church,,keep,
Mozarabic Sacramentary,7,7,Mozarabic Sacramentary,,keep,
Prayers Suitable for Use at a Marriage Reunion Service,7,7,Prayers Suitable for Use at a Marriage Reunion Service,,keep,
Second Sunday After Epiphany,7,7,Second Sunday After Epiphany,,keep,
South African Prayer Book,7,7,South African Prayer Book,,keep,
Sunday After Ascension Day,7,7,Sunday After Ascension Day,,keep,
Sunday Called Quinquagesima,7,7,Sunday Called Quinquagesima,,keep,
The Commonwealth,7,7,The Commonwealth,,keep,
W. E. Scudamore,7,7,W. E. Scudamore,,keep,
With all our Strength,7,7,With all our Strength,,keep,
A Christmas Carol Service,6,6,A Christmas Carol Service,,keep,
Ambrose,6,6,Ambrose,,keep,
Christina Rossetti,6,6,Christina Rossetti,,keep,
Collects,6,6,Collects,,keep,
Eleventh Sunday After Trinity,6,6,Eleventh Sunday After Trinity,,keep,
Fifteenth Sunday After Trinity,6,6,Fifteenth Sunday After Trinity,,keep,
First Sunday After Epiphany,6,6,First Sunday After Epiphany,,keep,
Fourteenth Sunday After Trinity,6,6,Fourteenth Sunday After Trinity,,keep,
Fourth Sunday After Epiphany,6,6,Fourth Sunday After Epiphany,,keep,
Fourth Sunday in Advent,6,6,Fourth Sunday in Advent,,keep,
Gregorian Sacramentary,6,6,Gregorian Sacramentary,,keep,
Growth in Grace,6,6,Growth in Grace,,keep,
James Ferguson,6,6,James Ferguson,,keep,
Liturgy of St. James,6,6,Liturgy of St. James,,keep,
Nineteenth Sunday After Trinity,6,6,Nineteenth Sunday After Trinity,,keep,
Prayer for Mission,6,6,Prayer for Mission,,keep,
Salisbury Book of Occasional Offices,6,6,Salisbury Book of Occasional Offices,,keep,
Second Sunday After Easter,6,6,Second Sunday After Easter,,keep,
Sunday Called Sexagesima,6,6,Sunday Called Sexagesima,,keep,
Sunday Next Before Advent (Trinity Xxv),6,6,Sunday Next Before Advent (Trinity Xxv),,keep,
Tenth Sunday After Trinity,6,6,Tenth Sunday After Trinity,,keep,
Third Sunday After Trinity,6,6,Third Sunday After Trinity,,keep,
A Book of Prayers for Students,5,5,A Book of Prayers for Students,,keep,
Charles Chapman Grafton,5,5,Charles Chapman Grafton,,keep,
Easter Even,5,5,Easter Even,,keep,
Eighteenth Sunday After Trinity,5,5,Eighteenth Sunday After Trinity,,keep,
Eighth Sunday After Trinity,5,5,Eighth Sunday After Trinity,,keep,
Fifth Sunday After Epiphany,5,5,Fifth Sunday After Epiphany,,keep,
Fourth Sunday After Trinity,5,5,Fourth Sunday After Trinity,,keep,
Fourth Sunday in Lent: Mothering Sunday,5,5,Fourth Sunday in Lent: Mothering Sunday,,keep,
General Intercessions,5,5,General Intercessions,,keep,
Harold Anson,5,5,Harold Anson,,keep,
Harold Riley,5,5,Harold Riley,,keep,
Jeremy Taylor,5,5,Jeremy Taylor,,keep,
John Cosin,5,5,John Cosin,,keep,
Lutheran Church,5,5,Lutheran Church,,keep,
Monday Before Easter,5,5,Monday Before Easter,,keep,
Ninth Sunday After Trinity,5,5,Ninth Sunday After Trinity,,keep,
Prayers of the World-Wide Church,5,5,Prayers of the World-Wide Church,,keep,
Prayers Which May Be Used at the Burial of One Who Has Taken His Own Life,5,5,Prayers Which May Be Used at the Burial of One Who Has Taken His Own Life,,keep,
R. M. Benson,5,5,R. M. Benson,,keep,
Richard D. Acland,5,5,Richard D. Acland,,keep,
Rites of Healing (Prayers for Use by a Sick Person),5,5,Rites of Healing (Prayers for Use by a Sick Person),,keep,
Ruby E. Cleeve,5,5,Ruby E. Cleeve,,keep,
Second Sunday in Lent,5,5,Second Sunday in Lent,,keep,
Seventeenth Sunday After Trinity,5,5,Seventeenth Sunday After Trinity,,keep,
Sixteenth Sunday After Trinity,5,5,Sixteenth Sunday After Trinity,,keep,
Sixth Sunday After Epiphany,5,5,Sixth Sunday After Epiphany,,keep,
Sunday After Christmas,5,5,Sunday After Christmas,,keep,
The Spirit of Service,5,5,The Spirit of Service,,keep,
Third Sunday After Epiphany,5,5,Third Sunday After Epiphany,,keep,
Third Sunday in Advent,5,5,Third Sunday in Advent,,keep,
Third Sunday in Lent,5,5,Third Sunday in Lent,,keep,
Thomas Ken,5,5,Thomas Ken,,keep,
Twentieth Sunday After Trinity,5,5,Twentieth Sunday After Trinity,,keep,
Twenty-Second Sunday After Trinity,5,5,Twenty-Second Sunday After Trinity,,keep,
Vesting Prayers,5,5,Vesting Prayers,,keep,
W. Walsham How,5,5,W. Walsham How,,keep,
"A Form of Prayer, May 1940",4,4,"A Form of Prayer, May 1940",,keep,
A. McCheane,4,4,A. McCheane,,keep,
Clement of Rome,4,4,Clement of Rome,,keep,
Country Services,4,4,Country Services,,keep,
E. W. Benson,4,4,E. W. Benson,,keep,
Ember Days,4,4,Ember Days,,keep,
Fifth Sunday After Trinity,4,4,Fifth Sunday After Trinity,,keep,
Fourth Sunday After Easter,4,4,Fourth Sunday After Easter,,keep,
Guild of St. Raphael,4,4,Guild of St. Raphael,,keep,
J. Armitage Robinson,4,4,J. Armitage Robinson,,keep,
John Donne,4,4,John Donne,,keep,
John Wesley’s Prayers,4,4,John Wesley’s Prayers,,keep,
Mothers’ Union,4,4,Mothers’ Union,,keep,
National Days,4,4,National Days,,keep,
Percy Dearmer,4,4,Percy Dearmer,,keep,
Rogation Days,4,4,Rogation Days,,keep,
Second Sunday After Trinity,4,4,Second Sunday After Trinity,,keep,
Sixth Sunday After Trinity,4,4,Sixth Sunday After Trinity,,keep,
The Christmas Crib,4,4,The Christmas Crib,,keep,
The Eastern Church,4,4,The Eastern Church,,keep,
Third Sunday After Easter,4,4,Third Sunday After Easter,,keep,
Thirteenth Sunday After Trinity,4,4,Thirteenth Sunday After Trinity,,keep,
Twelfth Sunday After Trinity,4,4,Twelfth Sunday After Trinity,,keep,
Twenty-First Sunday After Trinity,4,4,Twenty-First Sunday After Trinity,,keep,
Twenty-Fourth Sunday After Trinity,4,4,Twenty-Fourth Sunday After Trinity,,keep,
Twenty-Third Sunday After Trinity,4,4,Twenty-Third Sunday After Trinity,,keep,
William Laud,4,4,William Laud,,keep,
"A Form of Prayer, August 1914",3,3,"A Form of Prayer, August 1914",,keep,
"A Form of Prayer, August 1918",3,3,"A Form of Prayer, August 1918",,keep,
After Jeremy Taylor,3,3,After Jeremy Taylor,,keep,
"Anglican Altar Services, 1941",3,3,"Anglican Altar Services, 1941",,keep,
Arthur W. Robinson,3,3,Arthur W. Robinson,,keep,
Basil,3,3,Basil,,keep,
Charles H. Brent,3,3,Charles H. Brent,,keep,
E. M. Goulburn,3,3,E. M. Goulburn,,keep,
E. Milner-White,3,3,E. Milner-White,,keep,
Erasmus,3,3,Erasmus,,keep,
For the Blessing of a Civil Marriage,3,3,For the Blessing of a Civil Marriage,,keep,
Gallican Sacramentary,3,3,Gallican Sacramentary,,keep,
Gavin Hamilton,3,3,Gavin Hamilton,,keep,
George H. Russell,3,3,George H. Russell,,keep,
George Timms,3,3,George Timms,,keep,
"German Reformed Church, U.S.A.",3,3,"German Reformed Church, U.S.A.",,keep,
Handley C. G. Moule,3,3,Handley C. G. Moule,,keep,
J. Mountain,3,3,J. Mountain,,keep,
James Martineau,3,3,James Martineau,,keep,
John Chrysostom,3,3,John Chrysostom,,keep,
Monday in Easter Week,3,3,Monday in Easter Week,,keep,
Nerses of Clajes,3,3,Nerses of Clajes,,keep,
Old Gallican Sacramentary,3,3,Old Gallican Sacramentary,,keep,
Ryan Willers,3,3,Ryan Willers,,keep,
Seventh Sunday After Trinity,3,3,Seventh Sunday After Trinity,,keep,
Student Prayer,3,3,Student Prayer,,keep,
The Clementine Liturgy,3,3,The Clementine Liturgy,,keep,
The Daily Service,3,3,The Daily Service,,keep,
The Nation (Specific to Canada),3,3,The Nation (Specific to Canada),,keep,
The Nation (Specific to the United States or Mexico),3,3,The Nation (Specific to the United States or Mexico),,keep,
Thomas Wilson,3,3,Thomas Wilson,,keep,
Tuesday Before Easter,3,3,Tuesday Before Easter,,keep,
Tuesday in Easter Week,3,3,Tuesday in Easter Week,,keep,
W. H. Frere,3,3,W. H. Frere,,keep,
Wednesday Before Easter,3,3,Wednesday Before Easter,,keep,
A Book of Public Worship,2,2,A Book of Public Worship,,keep,
A Book of Services and Prayers,2,2,A Book of Services and Prayers,,keep,
A Devotional Diary,2,2,A Devotional Diary,,keep,
A New Prayer Book,2,2,A New Prayer Book,,keep,
Adapted from Gelasian Sacramentary,2,2,Adapted from Gelasian Sacramentary,,keep,
Adapted from Irish Prayer Book,2,2,Adapted from Irish Prayer Book,,keep,
Adapted from Jeremy Taylor,2,2,Adapted from Jeremy Taylor,,keep,
Adapted from various sources,2,2,Adapted from various sources,,keep,
After Gelasian Sacramentary,2,2,After Gelasian Sacramentary,,keep,
After J. H. Newman,2,2,After J. H. Newman,,keep,
After Lancelot Andrewes,2,2,After Lancelot Andrewes,,keep,
After St. Augustine,2,2,After St. Augustine,,keep,
Alcuin,2,2,Alcuin,,keep,
Ashton Oxenden,2,2,Ashton Oxenden,,keep,
Barnabas,2,2,Barnabas,,keep,
Based on Book of Common Prayer,2,2,Based on Book of Common Prayer,,keep,
Book of Prayers for Students,2,2,Book of Prayers for Students,,keep,
Charles Kingsley,2,2,Charles Kingsley,,keep,
Christian von Bunsen,2,2,Christian von Bunsen,,keep,
Convocation of York,2,2,Convocation of York,,keep,
Coptic Liturgy of St. Cyril,2,2,Coptic Liturgy of St. Cyril,,keep,
Diocese of Southwark,2,2,Diocese of Southwark,,keep,
Eugene Bersier,2,2,Eugene Bersier,,keep,
F. T. Woods,2,2,F. T. Woods,,keep,
Frank Houghton,2,2,Frank Houghton,,keep,
Frederick Temple,2,2,Frederick Temple,,keep,
From a prayer of the Eastern Church,2,2,From a prayer of the Eastern Church,,keep,
From the Accession Service,2,2,From the Accession Service,,keep,
G. C. Binyon,2,2,G. C. Binyon,,keep,
Gordon Hewitt,2,2,Gordon Hewitt,,keep,
Gothic Missal,2,2,Gothic Missal,,keep,
H. F. Leatherland,2,2,H. F. Leatherland,,keep,
Henry P. Liddon,2,2,Henry P. Liddon,,keep,
J. Taylor Smith,2,2,J. Taylor Smith,,keep,
James Mountain,2,2,James Mountain,,keep,
John Dowden,2,2,John Dowden,,keep,
John Wordsworth,2,2,John Wordsworth,,keep,
"King’s College, Cambridge",2,2,"King’s College, Cambridge",,keep,
Leslie D. Weatherhead,2,2,Leslie D. Weatherhead,,keep,
Leslie S. Hunter,2,2,Leslie S. Hunter,,keep,
Let Us Pray,2,2,Let Us Pray,,keep,
Liturgy of the Blessed Apostles,2,2,Liturgy of the Blessed Apostles,,keep,
Margaret Cropper,2,2,Margaret Cropper,,keep,
"National Mission, 1916",2,2,"National Mission, 1916",,keep,
Office of None,2,2,Office of None,,keep,
Office of Sext,2,2,Office of Sext,,keep,
Polycarp,2,2,Polycarp,,keep,
"Prayers for Education Sunday, 1956",2,2,"Prayers for Education Sunday, 1956",,keep,
Religious Drama Society,2,2,Religious Drama Society,,keep,
Salisbury Cathedral,2,2,Salisbury Cathedral,,keep,
Samuel Johnson,2,2,Samuel Johnson,,keep,
Seasonal,2,2,Seasonal,,keep,
Southwark Diocese,2,2,Southwark Diocese,,keep,
St. Anselm,2,2,St. Anselm,,keep,
St. Francis of Assisi,2,2,St. Francis of Assisi,,keep,
St. Ignatius Loyola,2,2,St. Ignatius Loyola,,keep,
Sursum Corda,2,2,Sursum Corda,,keep,
Thanksgivings for Family and Personal Life,2,2,Thanksgivings for Family and Personal Life,,keep,
Thanksgivings for National Life,2,2,Thanksgivings for National Life,,keep,
Thanksgivings for the Church,2,2,Thanksgivings for the Church,,keep,
Thanksgivings for the Natural Order,2,2,Thanksgivings for the Natural Order,,keep,
The Baptism of Jesus,2,2,The Baptism of Jesus,,keep,
"The Missionary Conference, 1894",2,2,"The Missionary Conference, 1894",,keep,
The Splendour of God,2,2,The Splendour of God,,keep,
Thomas à Kempis,2,2,Thomas à Kempis,,keep,
William Bellars,2,2,William Bellars,,keep,
1 Peter 5:10–11,1,1,1 Peter 5:10–11,,keep,
"A Form of Prayer, March 1941",1,1,"A Form of Prayer, March 1941",,keep,
"A Form of Prayer, October 1939",1,1,"A Form of Prayer, October 1939",,keep,
A Harvest of Myrrh and Spices (trs. W. H. Draper),1,1,A Harvest of Myrrh and Spices (trs. W. H. Draper),,keep,
A Prayer of the Eastern Church,1,1,A Prayer of the Eastern Church,,keep,
A. S. T. Fisher,1,1,A. S. T. Fisher,,keep,
A.C.C.M.,1,1,A.C.C.M.,,keep,
Acts of Devotion,1,1,Acts of Devotion,,keep,
Adapted from a 16th c. German prayer,1,1,Adapted from a 16th c. German prayer,,keep,
Adapted from A Book of Guide Prayers,1,1,Adapted from A Book of Guide Prayers,,keep,
Adapted from A Diocesan Service Book,1,1,Adapted from A Diocesan Service Book,,keep,
Adapted from a prayer at the London Hospital,1,1,Adapted from a prayer at the London Hospital,,keep,
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,1,Adapted from a prayer for the General Synod in the Irish Prayer Book,,keep,
Adapted from a prayer of A. E. Daldy,1,1,Adapted from a prayer of A. E. Daldy,,keep,
Adapted from a prayer of S.P.C.K.,1,1,Adapted from a prayer of S.P.C.K.,,keep,
Adapted from a prayer of St. Thomas Aquinas,1,1,Adapted from a prayer of St. Thomas Aquinas,,keep,
Adapted from an ancient collect,1,1,Adapted from an ancient collect,,keep,
Adapted from Book of Common Order,1,1,Adapted from Book of Common Order,,keep,
Adapted from Didache,1,1,Adapted from Didache,,keep,
Adapted from George Appleton,1,1,Adapted from George Appleton,,keep,
Adapted from John Donne,1,1,Adapted from John Donne,,keep,
Adapted from Lancelot Andrewes (Daily Prayer),1,1,Adapted from Lancelot Andrewes (Daily Prayer),,keep,
Adapted from Liturgy of St. James,1,1,Adapted from Liturgy of St. James,,keep,
Adapted from Micah 6:8,1,1,Adapted from Micah 6:8,,keep,
Adapted from Mozarabic Sacramentary,1,1,Adapted from Mozarabic Sacramentary,,keep,
Adapted from Prayers for the Christian Year,1,1,Adapted from Prayers for the Christian Year,,keep,
Adapted from Roman Breviary,1,1,Adapted from Roman Breviary,,keep,
Adapted from Sarum Missal,1,1,Adapted from Sarum Missal,,keep,
Adapted from Sarum Primer,1,1,Adapted from Sarum Primer,,keep,
Adapted from Scottish Prayer Book,1,1,Adapted from Scottish Prayer Book,,keep,
Adapted from St. Nerses of Clajes,1,1,Adapted from St. Nerses of Clajes,,keep,
Adapted from Student Prayer,1,1,Adapted from Student Prayer,,keep,
Adapted from Thomas Arnold,1,1,Adapted from Thomas Arnold,,keep,
After A. J. Mason,1,1,After A. J. Mason,,keep,
After Christina Rossetti,1,1,After Christina Rossetti,,keep,
After George Wither (Daily Prayer),1,1,After George Wither (Daily Prayer),,keep,
After Mozarabic Sacramentary,1,1,After Mozarabic Sacramentary,,keep,
After Prayers of 1585,1,1,After Prayers of 1585,,keep,
After Sir Francis Drake,1,1,After Sir Francis Drake,,keep,
After St. Anselm,1,1,After St. Anselm,,keep,
After St. Francis of Assisi,1,1,After St. Francis of Assisi,,keep,
After St. Fulgentius,1,1,After St. Fulgentius,,keep,
After St. Jerome,1,1,After St. Jerome,,keep,
After St. Thomas Aquinas,1,1,After St. Thomas Aquinas,,keep,
After the 55th Canon of 1603,1,1,After the 55th Canon of 1603,,keep,
After William Laud,1,1,After William Laud,,keep,
An adaptation of the Gelasian prayer,1,1,An adaptation of the Gelasian prayer,,keep,
An adaptation of the House of Commons Prayer,1,1,An adaptation of the House of Commons Prayer,,keep,
Anselm of Canterbury,1,1,Anselm of Canterbury,,keep,
Armenian Liturgy,1,1,Armenian Liturgy,,keep,
"Armistice Day Prayers, 1931",1,1,"Armistice Day Prayers, 1931",,keep,
Artists’ Prayer Guild,1,1,Artists’ Prayer Guild,,keep,
"Austrian Church Order, 1571",1,1,"Austrian Church Order, 1571",,keep,
Based on 1 Peter 1:3–5,1,1,Based on 1 Peter 1:3–5,,keep,
Based on 1 Peter 4:10–11,1,1,Based on 1 Peter 4:10–11,,keep,
Based on 2 Corinthians 4:6,1,1,Based on 2 Corinthians 4:6,,keep,
"Based on 2 John 3:23, 24",1,1,"Based on 2 John 3:23, 24",,keep,
Based on 2 Timothy 3:5–17,1,1,Based on 2 Timothy 3:5–17,,keep,
Based on a 16th century prayer,1,1,Based on a 16th century prayer,,keep,
