raw_value,assignment_count,file_count,overlap_file_count,canonical_value,suggested_facet,suggested_action,suggestion_reason,reviewed_action,reviewed_facet,review_notes
William Bright,20,20,19,William Bright,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Education Sunday,19,19,0,Education Sunday,,keep,default_keep,,,
Evangelism,19,19,0,Evangelism,,keep,default_keep,,,
Creation,18,18,0,Creation,,keep,default_keep,,,
Easter,18,18,0,Easter,,keep,default_keep,,,
Henry Alford,18,18,12,Henry Alford,,keep,default_keep,,,
In Time of War,18,18,0,In Time of War,,keep,default_keep,,,
Lesser Feasts,18,18,0,Lesser Feasts,,keep,default_keep,,,
Remembrance Sunday,18,18,0,Remembrance Sunday,,keep,default_keep,,,
The Parish,18,18,0,The Parish,,keep,default_keep,,,
Benedictions and Doxologies,17,17,0,Benedictions and Doxologies,,keep,default_keep,,,
J. R. W. Stott,17,17,17,J. R. W. Stott,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Opening Prayers,17,17,0,Opening Prayers,,keep,default_keep,,,
"The Kingdom, the Power, and the Glory",17,17,12,"The Kingdom, the Power, and the Glory",,keep,default_keep,,,
Easter Day,16,16,0,Easter Day,,keep,default_keep,,,
Good Friday,16,16,0,Good Friday,,keep,default_keep,,,
Praise and Thanksgiving,16,16,0,Praise and Thanksgiving,,keep,default_keep,,,
Rogationtide,16,16,0,Rogationtide,,keep,default_keep,,,
Sunday School Festival,16,16,0,Sunday School Festival,,keep,default_keep,,,
George Appleton,15,15,15,George Appleton,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Palm Sunday,15,15,0,Palm Sunday,,keep,default_keep,,,
Pastoral,15,15,0,Pastoral,,keep,default_keep,,,
The Ascension Day,15,15,0,The Ascension Day,,keep,default_keep,,,
The World,15,15,0,The World,,keep,default_keep,,,
Third Century Prayers,15,15,0,Third Century Prayers,,keep,default_keep,,,
Apostolic Constitutions,14,14,0,Apostolic Constitutions,,keep,default_keep,,,
At Evening,14,14,0,At Evening,,keep,default_keep,,,
B. F. Westcott,14,14,11,B. F. Westcott,,keep,default_keep,,,
Dedication Festival,14,14,0,Dedication Festival,,keep,default_keep,,,
Frederick B. Macnutt,14,14,14,Frederick B. Macnutt,attribution,move_to_attribution,high_tag_attribution_overlap,,,
Irish Prayer Book,14,14,11,Irish Prayer Book,,keep,default_keep,,,
Mothering Sunday Service,14,14,0,Mothering Sunday Service,,keep,default_keep,,,
Watch-Night Service,14,14,0,Watch-Night Service,,keep,default_keep,,,
Dedication,13,13,0,Dedication,,keep,default_keep,,,
Health Services and Hospitals,13,13,0,Health Services and Hospitals,,keep,default_keep,,,
In the Morning,13,13,0,In the Morning,,keep,default_keep,,,
Missionary Festival,13,13,0,Missionary Festival,,keep,default_keep,,,
New Testament Prayers,13,13,0,New Testament Prayers,,keep,default_keep,,,
Our Daily Work,13,13,0,Our Daily Work,,keep,default_keep,,,
The Coming of God’s Kingdom,13,13,0,The Coming of God’s Kingdom,,keep,default_keep,,,
The Epiphany,13,13,0,The Epiphany,,keep,default_keep,,,
A Civic Service,12,12,0,A Civic Service,,keep,default_keep,,,
Adapted from Book of Common Prayer,12,12,12,Adapted from Book of Common Prayer,source,move_to_source,non_scriptural_provenance_prefix,,,
Choir Festival,12,12,0,Choir Festival,,keep,default_keep,,,
Travel,12,12,0,Travel,,keep,default_keep,,,
Week of Prayer for Christian Unity,12,12,0,Week of Prayer for Christian Unity,,keep,default_keep,,,
Confirmation,11,11,0,Confirmation,,keep,default_keep,,,
Euchologium Anglicanum,11,11,11,Euchologium Anglicanum,source,move_to_source,high_overlap_and_source_like,,,
Marriage,11,11,0,Marriage,,keep,default_keep,,,
Rites of Healing,11,11,0,Rites of Healing,,keep,default_keep,,,
Second Century Prayers,11,11,0,Second Century Prayers,,keep,default_keep,,,
Those in Spiritual Need,11,11,0,Those in Spiritual Need,,keep,default_keep,,,
Trinity Sunday,11,11,0,Trinity Sunday,,keep,default_keep,,,
Youth Festival,11,11,0,Youth Festival,,keep,default_keep,,,
Commons of Commemoration,10,10,0,Commons of Commemoration,,keep,default_keep,,,
Courage and Perseverance,10,10,0,Courage and Perseverance,,keep,default_keep,,,
Family Prayer,10,10,0,Family Prayer,,keep,default_keep,,,
Maundy Thursday,10,10,0,Maundy Thursday,,keep,default_keep,,,
Old People’s Service,10,10,0,Old People’s Service,,keep,default_keep,,,
Penitence and Pardon,10,10,0,Penitence and Pardon,,keep,default_keep,,,
Second Sunday in Advent (Bible Sunday),10,10,0,Second Sunday in Advent (Bible Sunday),,keep,default_keep,,,
The Circumcision,10,10,0,The Circumcision,,keep,default_keep,,,
W. David O. Taylor,10,10,0,W. David O. Taylor,,keep,default_keep,,,
A Diocesan Service Book,9,9,8,A Diocesan Service Book,source,move_to_source,high_overlap_and_source_like,,,
