raw_value,assignment_count,file_count,overlap_file_count,overlap_ratio,canonical_value,reviewed_action,reviewed_facet,tag_surface_policy,confidence,rationale,review_notes
The Seven Words From the Cross,34,34,0,0.00,The Seven Words From the Cross,keep,topic,retain_tag,medium,topical_default,
General Prayers,32,32,0,0.00,General Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Social Order,32,32,0,0.00,Social Order,keep,topic,retain_tag,medium,topical_default,
In the Ember Weeks,31,31,0,0.00,In the Ember Weeks,keep,topic,retain_tag,medium,topical_default,
The Season After Pentecost,31,31,0,0.00,The Season After Pentecost,keep,topic,retain_tag,medium,topical_default,
Holy Days,30,30,0,0.00,Holy Days,keep,liturgical_season,retain_tag,medium,topical_default,
The Nation,30,30,0,0.00,The Nation,keep,life_or_church_context,retain_tag,medium,topical_default,
Augustine,29,29,29,1.00,Augustine,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Church of South India,27,27,27,1.00,Church of South India,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Those in Need,27,27,0,0.00,Those in Need,keep,topic,retain_tag,medium,topical_default,
Holy Communion,26,26,0,0.00,Holy Communion,keep,topic,retain_tag,medium,topical_default,
Book of Common Order,25,25,23,0.92,Book of Common Order,move_to_source,source_text,remove_from_tags,medium,overlap_and_source_like_label,
General and Concluding Prayers,25,25,0,0.00,General and Concluding Prayers,keep,prayer_type,retain_tag,medium,topical_default,
New Every Morning,25,25,20,0.80,New Every Morning,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Society and Industry,25,25,0,0.00,Society and Industry,keep,topic,retain_tag,medium,topical_default,
At Times of Prayer and Worship,24,24,0,0.00,At Times of Prayer and Worship,keep,prayer_type,retain_tag,medium,topical_default,
Canadian Prayer Book,24,24,15,0.62,Canadian Prayer Book,keep,prayer_type,retain_tag,medium,topical_default,
Church Meetings,24,24,0,0.00,Church Meetings,keep,life_or_church_context,retain_tag,medium,topical_default,
Home and Friends,24,24,0,0.00,Home and Friends,keep,life_or_church_context,retain_tag,medium,topical_default,
Concluding Prayers,23,23,0,0.00,Concluding Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Fifth Sunday After Easter: Rogation Sunday,23,23,0,0.00,Fifth Sunday After Easter: Rogation Sunday,keep,topic,retain_tag,medium,topical_default,
Scottish Prayer Book,23,23,23,1.00,Scottish Prayer Book,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
The Nations of the World,23,23,0,0.00,The Nations of the World,keep,life_or_church_context,retain_tag,medium,topical_default,
Whitsunday,23,23,0,0.00,Whitsunday,keep,topic,retain_tag,medium,topical_default,
Whitsuntide,23,23,0,0.00,Whitsuntide,keep,topic,retain_tag,medium,topical_default,
Ascensiontide,22,22,0,0.00,Ascensiontide,keep,topic,retain_tag,medium,topical_default,
Education and Youth,22,22,0,0.00,Education and Youth,keep,topic,retain_tag,medium,topical_default,
Family and Personal Life (Throughout the Day),22,22,0,0.00,Family and Personal Life (Throughout the Day),keep,life_or_church_context,retain_tag,medium,topical_default,
Gift Day or Stewardship Sunday,22,22,0,0.00,Gift Day or Stewardship Sunday,keep,topic,retain_tag,medium,topical_default,
Leonine Sacramentary,22,22,10,0.45,Leonine Sacramentary,keep,topic,retain_tag,medium,topical_default,
The Church at Home,22,22,0,0.00,The Church at Home,keep,life_or_church_context,retain_tag,medium,topical_default,
The Sick,22,22,0,0.00,The Sick,keep,life_or_church_context,retain_tag,medium,topical_default,
William Temple,22,22,22,1.00,William Temple,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
First Century Prayers,21,21,0,0.00,First Century Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Prayers for the Christian Year,21,21,19,0.90,Prayers for the Christian Year,move_to_source,source_text,remove_from_tags,medium,overlap_ambiguous_default_source_needs_manual_check,
Septuagesima to Quinquagesima,21,21,0,0.00,Septuagesima to Quinquagesima,keep,topic,retain_tag,medium,topical_default,
The Departed,21,21,0,0.00,The Departed,keep,topic,retain_tag,medium,topical_default,
Vestry Prayers,21,21,0,0.00,Vestry Prayers,keep,prayer_type,retain_tag,medium,topical_default,
A Memorial Service,20,20,0,0.00,A Memorial Service,keep,topic,retain_tag,medium,topical_default,
Children’s Church,20,20,0,0.00,Children’s Church,keep,life_or_church_context,retain_tag,medium,topical_default,
Harvest Thanksgiving,20,20,0,0.00,Harvest Thanksgiving,keep,prayer_type,retain_tag,medium,topical_default,
William Bright,20,20,19,0.95,William Bright,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Education Sunday,19,19,0,0.00,Education Sunday,keep,topic,retain_tag,medium,topical_default,
Evangelism,19,19,0,0.00,Evangelism,keep,topic,retain_tag,medium,topical_default,
Creation,18,18,0,0.00,Creation,keep,topic,retain_tag,medium,topical_default,
Easter,18,18,0,0.00,Easter,keep,liturgical_season,retain_tag,medium,topical_default,
Henry Alford,18,18,12,0.67,Henry Alford,keep,topic,retain_tag,medium,topical_default,
In Time of War,18,18,0,0.00,In Time of War,keep,life_or_church_context,retain_tag,medium,topical_default,
Lesser Feasts,18,18,0,0.00,Lesser Feasts,keep,topic,retain_tag,medium,topical_default,
Remembrance Sunday,18,18,0,0.00,Remembrance Sunday,keep,topic,retain_tag,medium,topical_default,
The Parish,18,18,0,0.00,The Parish,keep,topic,retain_tag,medium,topical_default,
Benedictions and Doxologies,17,17,0,0.00,Benedictions and Doxologies,keep,topic,retain_tag,medium,topical_default,
J. R. W. Stott,17,17,17,1.00,J. R. W. Stott,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Opening Prayers,17,17,0,0.00,Opening Prayers,keep,prayer_type,retain_tag,medium,topical_default,
"The Kingdom, the Power, and the Glory",17,17,12,0.71,"The Kingdom, the Power, and the Glory",keep,topic,retain_tag,medium,topical_default,
Easter Day,16,16,0,0.00,Easter Day,keep,topic,retain_tag,medium,topical_default,
Good Friday,16,16,0,0.00,Good Friday,keep,topic,retain_tag,medium,topical_default,
Praise and Thanksgiving,16,16,0,0.00,Praise and Thanksgiving,keep,prayer_type,retain_tag,medium,topical_default,
Rogationtide,16,16,0,0.00,Rogationtide,keep,topic,retain_tag,medium,topical_default,
Sunday School Festival,16,16,0,0.00,Sunday School Festival,keep,topic,retain_tag,medium,topical_default,
George Appleton,15,15,15,1.00,George Appleton,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Palm Sunday,15,15,0,0.00,Palm Sunday,keep,topic,retain_tag,medium,topical_default,
Pastoral,15,15,0,0.00,Pastoral,keep,topic,retain_tag,medium,topical_default,
The Ascension Day,15,15,0,0.00,The Ascension Day,keep,topic,retain_tag,medium,topical_default,
The World,15,15,0,0.00,The World,keep,life_or_church_context,retain_tag,medium,topical_default,
Third Century Prayers,15,15,0,0.00,Third Century Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Apostolic Constitutions,14,14,0,0.00,Apostolic Constitutions,keep,topic,retain_tag,medium,topical_default,
At Evening,14,14,0,0.00,At Evening,keep,topic,retain_tag,medium,topical_default,
B. F. Westcott,14,14,11,0.79,B. F. Westcott,keep,topic,retain_tag,medium,topical_default,
Dedication Festival,14,14,0,0.00,Dedication Festival,keep,topic,retain_tag,medium,topical_default,
Frederick B. Macnutt,14,14,14,1.00,Frederick B. Macnutt,move_to_attribution,attribution_author,remove_from_tags,high,overlap_and_author_like_label,
Irish Prayer Book,14,14,11,0.79,Irish Prayer Book,keep,prayer_type,retain_tag,medium,topical_default,
Mothering Sunday Service,14,14,0,0.00,Mothering Sunday Service,keep,topic,retain_tag,medium,topical_default,
Watch-Night Service,14,14,0,0.00,Watch-Night Service,keep,topic,retain_tag,medium,topical_default,
Dedication,13,13,0,0.00,Dedication,keep,topic,retain_tag,medium,topical_default,
Health Services and Hospitals,13,13,0,0.00,Health Services and Hospitals,keep,topic,retain_tag,medium,topical_default,
In the Morning,13,13,0,0.00,In the Morning,keep,topic,retain_tag,medium,topical_default,
Missionary Festival,13,13,0,0.00,Missionary Festival,keep,life_or_church_context,retain_tag,medium,topical_default,
New Testament Prayers,13,13,0,0.00,New Testament Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Our Daily Work,13,13,0,0.00,Our Daily Work,keep,topic,retain_tag,medium,topical_default,
The Coming of God’s Kingdom,13,13,0,0.00,The Coming of God’s Kingdom,keep,topic,retain_tag,medium,topical_default,
The Epiphany,13,13,0,0.00,The Epiphany,keep,liturgical_season,retain_tag,medium,topical_default,
A Civic Service,12,12,0,0.00,A Civic Service,keep,topic,retain_tag,medium,topical_default,
Adapted from Book of Common Prayer,12,12,12,1.00,Adapted from Book of Common Prayer,move_to_source,source_text,remove_from_tags,high,prefixed_provenance_non_scriptural_source,
Choir Festival,12,12,0,0.00,Choir Festival,keep,topic,retain_tag,medium,topical_default,
Travel,12,12,0,0.00,Travel,keep,topic,retain_tag,medium,topical_default,
Week of Prayer for Christian Unity,12,12,0,0.00,Week of Prayer for Christian Unity,keep,prayer_type,retain_tag,medium,topical_default,
Confirmation,11,11,0,0.00,Confirmation,keep,topic,retain_tag,medium,topical_default,
Euchologium Anglicanum,11,11,11,1.00,Euchologium Anglicanum,move_to_source,source_text,remove_from_tags,high,overlap_and_source_like_label,
Marriage,11,11,0,0.00,Marriage,keep,life_or_church_context,retain_tag,medium,topical_default,
Rites of Healing,11,11,0,0.00,Rites of Healing,keep,topic,retain_tag,medium,topical_default,
Second Century Prayers,11,11,0,0.00,Second Century Prayers,keep,prayer_type,retain_tag,medium,topical_default,
Those in Spiritual Need,11,11,0,0.00,Those in Spiritual Need,keep,topic,retain_tag,medium,topical_default,
Trinity Sunday,11,11,0,0.00,Trinity Sunday,keep,topic,retain_tag,medium,topical_default,
Youth Festival,11,11,0,0.00,Youth Festival,keep,topic,retain_tag,medium,topical_default,
Commons of Commemoration,10,10,0,0.00,Commons of Commemoration,keep,topic,retain_tag,medium,topical_default,
Courage and Perseverance,10,10,0,0.00,Courage and Perseverance,keep,topic,retain_tag,medium,topical_default,
Family Prayer,10,10,0,0.00,Family Prayer,keep,prayer_type,retain_tag,medium,topical_default,
