attribution,assignment_count,file_count,section_count,as_tag_overlap_count
"A Form of Prayer, October 1939",1,1,1,1
A Harvest of Myrrh and Spices (trs. W. H. Draper),1,1,1,1
A Prayer of the Eastern Church,1,1,1,1
A. S. T. Fisher,1,1,1,1
A.C.C.M.,1,1,1,1
Acts of Devotion,1,1,1,1
Adapted from a 16th c. German prayer,1,1,1,1
Adapted from A Book of Guide Prayers,1,1,1,1
Adapted from A Diocesan Service Book,1,1,1,1
Adapted from a prayer at the London Hospital,1,1,1,1
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,1,1,1
Adapted from a prayer of A. E. Daldy,1,1,1,1
Adapted from a prayer of S.P.C.K.,1,1,1,1
Adapted from a prayer of St. Thomas Aquinas,1,1,1,1
Adapted from an ancient collect,1,1,1,1
Adapted from Book of Common Order,1,1,1,1
Adapted from Didache,1,1,1,1
Adapted from George Appleton,1,1,1,1
Adapted from John Donne,1,1,1,1
Adapted from Lancelot Andrewes (Daily Prayer),1,1,1,1
Adapted from Liturgy of St. James,1,1,1,1
Adapted from Micah 6:8,1,1,1,1
Adapted from Mozarabic Sacramentary,1,1,1,1
Adapted from Prayers for the Christian Year,1,1,1,1
Adapted from Roman Breviary,1,1,1,1
Adapted from Sarum Missal,1,1,1,1
Adapted from Sarum Primer,1,1,1,1
Adapted from Scottish Prayer Book,1,1,1,1
Adapted from St. Nerses of Clajes,1,1,1,1
Adapted from Student Prayer,1,1,1,1
Adapted from Thomas Arnold,1,1,1,1
After A. J. Mason,1,1,1,1
After Christina Rossetti,1,1,1,1
After George Wither (Daily Prayer),1,1,1,1
After Mozarabic Sacramentary,1,1,1,1
After Prayers of 1585,1,1,1,1
After Sir Francis Drake,1,1,1,1
After St. Anselm,1,1,1,1
After St. Francis of Assisi,1,1,1,1
After St. Fulgentius,1,1,1,1
After St. Jerome,1,1,1,1
After St. Thomas Aquinas,1,1,1,1
After the 55th Canon of 1603,1,1,1,1
After William Laud,1,1,1,1
An adaptation of the Gelasian prayer,1,1,1,1
An adaptation of the House of Commons Prayer,1,1,1,1
Anselm of Canterbury,1,1,1,1
"Armistice Day Prayers, 1931*",1,1,1,0
Artists’ Prayer Guild*,1,1,1,0
"Austrian Church Order, 1571",1,1,1,1
Based on 1 Peter 1:3–5,1,1,1,1
Based on 1 Peter 4:10–11,1,1,1,1
Based on 2 Corinthians 4:6,1,1,1,1
"Based on 2 John 3:23, 24",1,1,1,1
Based on 2 Timothy 3:5–17,1,1,1,1
Based on a 16th century prayer,1,1,1,1
"Based on a prayer of the Pan-Anglican Congress, 1908",1,1,1,1
Based on a sixteenth century prayer,1,1,1,1
Based on Colossians 1:10–12,1,1,1,1
Based on Colossians 3:1–4,1,1,1,1
Based on Confirmation Service,1,1,1,1
Based on Ephesians 1:17–21,1,1,1,1
Based on Ephesians 4:11–13,1,1,1,1
Based on Ephesians 4:30–32,1,1,1,1
Based on Ephesians 4:4–6,1,1,1,1
Based on Ephesians 6:11–17,1,1,1,1
"Based on Galatians 5:22, 23",1,1,1,1
Based on Hebrews 10:19–24,1,1,1,1
"Based on Hebrews 13:20, 21",1,1,1,1
Based on John 4:23; Isaiah 29:13; Psalm 103.,1,1,1,1
Based on Luke 8:15,1,1,1,1
Based on Numbers 6:24–26,1,1,1,1
Based on Philippians 1:9–11,1,1,1,1
Based on Philippians 2:8–11,1,1,1,1
Based on Philippians 2:9–11,1,1,1,1
Based on Philippians 4:4–7,1,1,1,1
"Based on Psalm 119. 105, 18, 162",1,1,1,1
Based on Psalm 23:1–3,1,1,1,1
Based on Romans 12:19–21,1,1,1,1
Based on Romans 12:6–10.,1,1,1,0
"Based on Romans 13. 11, 12,* 1 Thessalonians 5:8",1,1,1,0
Based on Romans 15:13,1,1,1,1
Based on Thomas Ken,1,1,1,1
Benedict of Nursia,1,1,1,1
Benjamin Jenks*,1,1,1,0
Bible Reading Fellowship,1,1,1,1
"Book of Hours, 1864",1,1,1,1
"Book of Offices, Methodist Church",1,1,1,1
Book of Prayers for Students,1,1,1,1
