value,overlap_file_count,tag_assignment_count,attribution_assignment_count,section_count,sections
Adapted from Jeremy Taylor,2,2,2,2,parish-intercessory;parish-year
Adapted from various sources,2,2,2,2,parish-occasions;parish-year
After Gelasian Sacramentary,2,2,2,2,parish-intercessory;parish-year
After J. H. Newman,2,2,2,2,parish-devotional;parish-occasions
After Lancelot Andrewes,2,2,2,1,parish-year
After St. Augustine,2,2,2,2,parish-devotional;parish-year
Alcuin,2,2,2,1,parish-devotional
Barnabas,2,2,2,1,potec
Based on Book of Common Prayer,2,2,2,2,parish-sacraments;parish-year
Charles H. Brent,2,3,2,3,parish-intercessory;parish-occasions;parish-sacraments
Charles Kingsley,2,2,2,2,parish-devotional;parish-year
Convocation of York,2,2,2,1,parish-sacraments
F. T. Woods,2,2,2,2,parish-devotional;parish-intercessory
Frank Houghton,2,2,2,2,parish-sacraments;parish-supplementary
Frederick Temple,2,2,2,2,parish-occasions;parish-year
From a prayer of the Eastern Church,2,2,2,2,parish-devotional;parish-intercessory
From the Accession Service,2,2,2,1,parish-intercessory
Gallican Sacramentary,2,3,2,3,parish-devotional;parish-year;potec
Gavin Hamilton,2,3,2,2,parish-devotional;parish-intercessory
Gordon Hewitt,2,2,2,1,parish-year
H. F. Leatherland,2,2,2,1,parish-intercessory
Henry P. Liddon,2,2,2,1,parish-year
James Martineau,2,3,2,1,parish-year
John Dowden,2,2,2,2,parish-occasions;parish-sacraments
John Wesley’s Prayers,2,4,2,3,parish-devotional;parish-intercessory;parish-year
John Wordsworth,2,2,2,1,parish-year
"King’s College, Cambridge",2,2,2,2,parish-occasions;parish-year
Leslie D. Weatherhead,2,2,2,1,parish-occasions
Leslie S. Hunter,2,2,2,2,parish-devotional;parish-intercessory
Let Us Pray,2,2,2,2,parish-sacraments;parish-year
Liturgy of St. James,2,6,2,3,parish-sacraments;parish-year;potec
Margaret Cropper,2,2,2,1,parish-occasions
"National Mission, 1916",2,2,2,1,parish-intercessory
Office of None,2,2,2,1,parish-year
Office of Sext,2,2,2,2,parish-intercessory;parish-year
Polycarp,2,2,2,1,potec
"Prayers for Education Sunday, 1956",2,2,2,1,parish-occasions
Religious Drama Society,2,2,2,1,parish-supplementary
Salisbury Book of Occasional Offices,2,6,2,4,parish-intercessory;parish-occasions;parish-sacraments;parish-year
Salisbury Cathedral,2,2,2,2,parish-occasions;parish-supplementary
Southwark Diocese,2,2,2,2,parish-devotional;parish-intercessory
St. Anselm,2,2,2,1,parish-devotional
St. Francis of Assisi,2,2,2,1,parish-devotional
St. Ignatius Loyola,2,2,2,2,parish-occasions;parish-sacraments
Sursum Corda,2,2,2,1,parish-intercessory
Thomas à Kempis,2,2,2,2,acna2019;parish-intercessory
W. H. Frere,2,3,2,1,parish-year
W. Walsham How,2,5,2,3,parish-devotional;parish-sacraments;parish-year
William Bellars,2,2,2,2,parish-intercessory;parish-occasions
William Laud,2,4,2,3,acna2019;parish-devotional;parish-intercessory
1 Peter 5:10–11,1,1,1,1,parish-devotional
"A Form of Prayer, March 1941",1,1,1,1,parish-intercessory
"A Form of Prayer, October 1939",1,1,1,1,parish-intercessory
A Harvest of Myrrh and Spices (trs. W. H. Draper),1,1,1,1,parish-year
A Prayer of the Eastern Church,1,1,1,1,parish-intercessory
A. S. T. Fisher,1,1,1,1,parish-intercessory
A.C.C.M.,1,1,1,1,parish-year
Acts of Devotion,1,1,1,1,parish-intercessory
Adapted from a 16th c. German prayer,1,1,1,1,parish-year
Adapted from A Book of Guide Prayers,1,1,1,1,parish-intercessory
Adapted from A Diocesan Service Book,1,1,1,1,parish-occasions
Adapted from a prayer at the London Hospital,1,1,1,1,parish-intercessory
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,1,1,1,parish-supplementary
Adapted from a prayer of A. E. Daldy,1,1,1,1,parish-intercessory
Adapted from a prayer of S.P.C.K.,1,1,1,1,parish-intercessory
Adapted from a prayer of St. Thomas Aquinas,1,1,1,1,parish-sacraments
Adapted from an ancient collect,1,1,1,1,parish-devotional
Adapted from Book of Common Order,1,1,1,1,parish-occasions
Adapted from Didache,1,1,1,1,parish-intercessory
Adapted from George Appleton,1,1,1,1,parish-intercessory
Adapted from John Donne,1,1,1,1,parish-occasions
Adapted from Lancelot Andrewes (Daily Prayer),1,1,1,1,parish-year
Adapted from Liturgy of St. James,1,1,1,1,parish-year
