raw_value,assignment_count,file_count,canonical_value,action,notes
Barnabas,2,2,Barnabas,keep,
Based on Book of Common Prayer,2,2,Based on Book of Common Prayer,keep,
Book of Common Order*,2,2,Book of Common Order*,keep,
"Canterbury Convocation, 1862*",2,2,"Canterbury Convocation, 1862*",keep,
Charles H. Brent,2,2,Charles H. Brent,keep,
Charles Kingsley,2,2,Charles Kingsley,keep,
Convocation of York,2,2,Convocation of York,keep,
Erasmus*,2,2,Erasmus*,keep,
F. T. Woods,2,2,F. T. Woods,keep,
Frank Houghton,2,2,Frank Houghton,keep,
Frederick Temple,2,2,Frederick Temple,keep,
From a prayer of the Eastern Church,2,2,From a prayer of the Eastern Church,keep,
From the Accession Service,2,2,From the Accession Service,keep,
Gallican Sacramentary,2,2,Gallican Sacramentary,keep,
Gavin Hamilton,2,2,Gavin Hamilton,keep,
George H. Russell*,2,2,George H. Russell*,keep,
Gordon Hewitt,2,2,Gordon Hewitt,keep,
Gregorian Sacramentary*,2,2,Gregorian Sacramentary*,keep,
Guild of Health*,2,2,Guild of Health*,keep,
H. F. Leatherland,2,2,H. F. Leatherland,keep,
Handley C. G. Moule*,2,2,Handley C. G. Moule*,keep,
Henry P. Liddon,2,2,Henry P. Liddon,keep,
J. Taylor Smith*,2,2,J. Taylor Smith*,keep,
James Martineau,2,2,James Martineau,keep,
John Dowden,2,2,John Dowden,keep,
John Wesley’s Prayers,2,2,John Wesley’s Prayers,keep,
John Wesley’s Prayers*,2,2,John Wesley’s Prayers*,keep,
John Wordsworth,2,2,John Wordsworth,keep,
"King’s College, Cambridge",2,2,"King’s College, Cambridge",keep,
Leslie D. Weatherhead,2,2,Leslie D. Weatherhead,keep,
Leslie S. Hunter,2,2,Leslie S. Hunter,keep,
Let Us Pray,2,2,Let Us Pray,keep,
Liturgy of St. James,2,2,Liturgy of St. James,keep,
Margaret Cropper,2,2,Margaret Cropper,keep,
"National Mission, 1916",2,2,"National Mission, 1916",keep,
Office of None,2,2,Office of None,keep,
Office of Sext,2,2,Office of Sext,keep,
Polycarp,2,2,Polycarp,keep,
"Prayers for Education Sunday, 1956",2,2,"Prayers for Education Sunday, 1956",keep,
Prayers for the Christian Year*,2,2,Prayers for the Christian Year*,keep,
Prayers of the World-Wide Church*,2,2,Prayers of the World-Wide Church*,keep,
Religious Drama Society,2,2,Religious Drama Society,keep,
Salisbury Book of Occasional Offices,2,2,Salisbury Book of Occasional Offices,keep,
Salisbury Cathedral,2,2,Salisbury Cathedral,keep,
South African Prayer Book*,2,2,South African Prayer Book*,keep,
Southwark Diocese,2,2,Southwark Diocese,keep,
St. Anselm,2,2,St. Anselm,keep,
St. Francis of Assisi,2,2,St. Francis of Assisi,keep,
St. Ignatius Loyola,2,2,St. Ignatius Loyola,keep,
Student Prayer*,2,2,Student Prayer*,keep,
Sursum Corda,2,2,Sursum Corda,keep,
Thomas Wilson*,2,2,Thomas Wilson*,keep,
Thomas à Kempis,2,2,Thomas à Kempis,keep,
W. E. Scudamore*,2,2,W. E. Scudamore*,keep,
W. H. Frere,2,2,W. H. Frere,keep,
W. Walsham How,2,2,W. Walsham How,keep,
William Bellars,2,2,William Bellars,keep,
William Laud,2,2,William Laud,keep,
William Laud*,2,2,William Laud*,keep,
1 Peter 5:10–11,1,1,1 Peter 5:10–11,keep,
A Diocesan Service Book*,1,1,A Diocesan Service Book*,keep,
"A Form of Prayer, August 1918*",1,1,"A Form of Prayer, August 1918*",keep,
"A Form of Prayer, March 1941",1,1,"A Form of Prayer, March 1941",keep,
"A Form of Prayer, October 1939",1,1,"A Form of Prayer, October 1939",keep,
A Harvest of Myrrh and Spices (trs. W. H. Draper),1,1,A Harvest of Myrrh and Spices (trs. W. H. Draper),keep,
A Prayer of the Eastern Church,1,1,A Prayer of the Eastern Church,keep,
A. S. T. Fisher,1,1,A. S. T. Fisher,keep,
A.C.C.M.,1,1,A.C.C.M.,keep,
Acts of Devotion,1,1,Acts of Devotion,keep,
Adapted from a 16th c. German prayer,1,1,Adapted from a 16th c. German prayer,keep,
Adapted from A Book of Guide Prayers,1,1,Adapted from A Book of Guide Prayers,keep,
Adapted from A Diocesan Service Book,1,1,Adapted from A Diocesan Service Book,keep,
Adapted from a prayer at the London Hospital,1,1,Adapted from a prayer at the London Hospital,keep,
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,1,Adapted from a prayer for the General Synod in the Irish Prayer Book,keep,
Adapted from a prayer of A. E. Daldy,1,1,Adapted from a prayer of A. E. Daldy,keep,
