raw_tag,assignment_count,current_action,current_facet,extreme_action,extreme_tag,reason,confidence
Vestry Prayers,21,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
A Memorial Service,20,keep,topic,drop,,not_in_extreme_canonical_set,medium
Children’s Church,20,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
Harvest Thanksgiving,20,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
William Bright,20,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Education Sunday,19,keep,topic,drop,,not_in_extreme_canonical_set,medium
Evangelism,19,keep,topic,drop,,not_in_extreme_canonical_set,medium
Creation,18,keep,topic,keep,Creation,canonical_exact,high
Easter,18,keep,liturgical_season,keep,Easter,canonical_exact,high
Henry Alford,18,keep,topic,drop,,not_in_extreme_canonical_set,medium
In Time of War,18,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
Lesser Feasts,18,keep,topic,map,Other Feasts,seasonal_rule,high
Remembrance Sunday,18,keep,topic,drop,,not_in_extreme_canonical_set,medium
The Parish,18,keep,topic,drop,,not_in_extreme_canonical_set,medium
Benedictions and Doxologies,17,keep,topic,drop,,not_in_extreme_canonical_set,medium
J. R. W. Stott,17,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Opening Prayers,17,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
"The Kingdom, the Power, and the Glory",17,keep,topic,drop,,not_in_extreme_canonical_set,medium
Easter Day,16,keep,topic,map,Easter,seasonal_rule,high
Good Friday,16,keep,topic,map,Holy Week,seasonal_rule,high
Praise and Thanksgiving,16,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Rogationtide,16,keep,topic,map,Other Feasts,seasonal_rule,high
Sunday School Festival,16,keep,topic,drop,,not_in_extreme_canonical_set,medium
George Appleton,15,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Palm Sunday,15,keep,topic,map,Holy Week,seasonal_rule,high
Pastoral,15,keep,topic,drop,,not_in_extreme_canonical_set,medium
